row,space_group,split,split_id
229,227,train,0
230,74,train,0
231,74,train,0
232,74,train,0
233,14,test,2
234,14,val,1
235,63,train,0
236,227,val,1
237,64,train,0
238,64,val,1
239,64,train,0
240,65,train,0
241,65,train,0
242,15,train,0
243,2,train,0
244,2,train,0
245,62,test,2
246,140,train,0
247,140,val,1
248,135,train,0
249,140,train,0
250,140,train,0
251,12,train,0
252,204,train,0
253,12,test,2
254,61,train,0
255,2,train,0
256,62,val,1
257,66,train,0
258,14,train,0
259,2,test,2
260,62,train,0
261,14,test,2
262,62,train,0
263,62,train,0
264,62,train,0
265,152,train,0
266,152,val,1
267,206,train,0
268,33,train,0
269,205,val,1
270,15,train,0
271,62,test,2
272,62,train,0
273,62,val,1
274,62,train,0
275,14,val,1
276,19,train,0
277,62,train,0
278,62,test,2
279,62,val,1
280,62,train,0
281,62,train,0
282,62,train,0
283,62,train,0
284,62,train,0
285,137,test,2
286,11,test,2
287,63,val,1
288,88,train,0
289,12,test,2
290,15,train,0
291,55,train,0
292,60,train,0
293,205,train,0
294,205,train,0
295,62,train,0
296,60,train,0
297,60,val,1
298,57,train,0
299,74,train,0
300,34,train,0
301,58,train,0
302,102,train,0
303,15,train,0
304,14,train,0
305,100,train,0
306,15,train,0
307,9,train,0
308,205,val,1
309,194,train,0
310,141,test,2
311,58,train,0
312,2,train,0
313,139,train,0
314,63,train,0
315,19,val,1
316,19,train,0
317,141,test,2
318,36,train,0
319,176,train,0
320,148,train,0
321,7,train,0
322,141,train,0
323,47,train,0
324,43,train,0
325,33,train,0
326,70,train,0
327,63,train,0
328,61,train,0
329,71,test,2
330,14,train,0
331,130,train,0
332,130,train,0
333,130,test,2
334,130,train,0
335,139,train,0
336,185,train,0
337,14,val,1
338,26,train,0
339,4,train,0
340,12,val,1
341,12,train,0
342,2,train,0
343,14,train,0
344,9,train,0
345,63,train,0
346,63,train,0
347,227,train,0
348,227,train,0
349,227,train,0
350,227,train,0
351,227,train,0
352,227,val,1
353,227,train,0
354,55,val,1
355,11,test,2
356,11,test,2
357,11,train,0
358,139,train,0
359,63,train,0
360,57,train,0
361,70,train,0
362,198,test,2
363,189,val,1
364,12,train,0
365,12,train,0
366,15,train,0
367,204,train,0
368,74,train,0
369,2,train,0
370,74,train,0
371,74,train,0
372,74,train,0
373,140,train,0
374,15,test,2
375,15,train,0
376,15,train,0
377,15,train,0
378,62,test,2
379,205,train,0
380,50,train,0
381,139,train,0
382,12,train,0
383,150,train,0
384,229,test,2
385,62,train,0
386,15,train,0
387,36,train,0
388,36,train,0
389,12,train,0
390,12,train,0
391,74,val,1
392,62,train,0
393,14,train,0
394,176,train,0
395,143,train,0
396,14,train,0
397,14,train,0
398,62,train,0
399,62,train,0
400,186,train,0
401,14,train,0
402,123,train,0
403,123,train,0
404,123,train,0
405,57,train,0
406,14,train,0
407,64,test,2
408,33,val,1
409,227,train,0
410,227,train,0
411,62,train,0
412,62,train,0
413,11,train,0
414,11,train,0
415,11,test,2
416,40,train,0
417,58,val,1
418,74,train,0
419,123,train,0
420,127,train,0
421,127,test,2
422,59,train,0
423,59,train,0
424,14,train,0
425,15,train,0
426,164,train,0
427,164,test,2
428,194,train,0
429,194,test,2
430,194,train,0
431,148,train,0
432,194,train,0
433,166,train,0
434,12,train,0
435,8,val,1
436,12,train,0
437,155,test,2
438,63,train,0
439,11,val,1
440,11,train,0
441,123,train,0
442,75,train,0
443,60,train,0
444,84,test,2
445,139,train,0
446,12,train,0
447,141,train,0
448,14,train,0
449,2,train,0
450,19,train,0
451,166,train,0
452,120,train,0
453,120,train,0
454,166,train,0
455,227,train,0
456,227,train,0
457,227,train,0
458,127,train,0
459,2,train,0
460,14,train,0
461,227,train,0
462,148,train,0
463,148,train,0
464,14,train,0
465,139,train,0
466,14,test,2
467,61,train,0
468,2,val,1
469,2,train,0
470,56,train,0
471,15,train,0
472,2,train,0
473,68,train,0
474,165,train,0
475,165,train,0
476,176,train,0
477,7,train,0
478,166,train,0
479,157,train,0
480,157,train,0
481,36,train,0
482,20,train,0
483,150,train,0
484,164,test,2
485,164,train,0
486,164,train,0
487,164,train,0
488,166,val,1
489,14,train,0
490,61,train,0
491,193,train,0
492,193,train,0
493,4,train,0
494,15,train,0
495,33,train,0
496,166,train,0
497,194,train,0
498,193,train,0
499,193,train,0
500,193,train,0
501,227,train,0
502,12,train,0
503,38,val,1
504,227,train,0
505,227,val,1
506,227,train,0
507,62,train,0
508,127,train,0
509,143,train,0
510,193,val,1
511,193,train,0
512,193,train,0
513,193,train,0
514,193,train,0
515,193,test,2
516,193,train,0
517,193,train,0
518,150,train,0
519,206,train,0
520,227,train,0
521,227,train,0
522,227,train,0
523,227,val,1
524,14,train,0
525,221,train,0
526,47,train,0
527,65,train,0
528,227,val,1
529,227,train,0
530,227,train,0
531,227,train,0
532,227,train,0
533,227,train,0
534,227,train,0
535,227,train,0
536,188,train,0
537,159,train,0
538,81,train,0
539,222,val,1
540,188,train,0
541,188,train,0
542,188,train,0
543,188,test,2
544,188,train,0
545,176,train,0
546,57,train,0
547,62,train,0
548,62,train,0
549,62,test,2
550,62,val,1
551,62,train,0
552,62,val,1
553,62,train,0
554,62,train,0
555,62,train,0
556,136,test,2
557,227,val,1
558,225,test,2
559,205,train,0
560,14,train,0
561,127,train,0
562,227,train,0
563,227,test,2
564,227,train,0
565,189,train,0
566,189,train,0
567,189,val,1
568,189,train,0
569,12,train,0
570,12,train,0
571,12,train,0
572,55,train,0
573,14,train,0
574,176,train,0
575,176,train,0
576,176,train,0
577,176,train,0
578,176,train,0
579,176,train,0
580,176,train,0
581,165,train,0
582,165,train,0
583,165,train,0
584,165,val,1
585,165,val,1
586,65,train,0
587,221,train,0
588,123,train,0
589,227,train,0
590,14,train,0
591,225,train,0
592,36,val,1
593,36,train,0
594,62,train,0
595,225,train,0
596,205,train,0
597,205,test,2
598,61,train,0
599,192,val,1
600,192,train,0
601,192,val,1
602,192,train,0
603,192,train,0
604,192,val,1
605,192,train,0
606,70,val,1
607,227,test,2
608,227,train,0
609,227,test,2
610,227,train,0
611,227,train,0
612,57,train,0
613,136,train,0
614,227,train,0
615,227,test,2
616,227,train,0
617,227,test,2
618,227,train,0
619,71,train,0
620,62,train,0
621,13,train,0
622,75,train,0
623,14,train,0
624,189,train,0
625,227,test,2
626,227,train,0
627,227,train,0
628,227,train,0
629,227,train,0
630,227,train,0
631,43,train,0
632,14,train,0
633,34,train,0
634,123,train,0
635,10,train,0
636,70,test,2
637,194,train,0
638,225,train,0
639,227,train,0
640,227,test,2
641,227,test,2
642,148,train,0
643,140,val,1
644,140,val,1
645,227,train,0
646,227,train,0
647,227,train,0
648,227,train,0
649,227,train,0
650,227,train,0
651,227,train,0
652,227,test,2
653,227,train,0
654,227,train,0
655,121,train,0
656,30,train,0
657,82,train,0
658,227,train,0
659,59,train,0
660,2,train,0
661,229,train,0
662,139,train,0
663,62,train,0
664,62,train,0
665,62,train,0
666,63,train,0
667,19,train,0
668,143,train,0
669,227,train,0
670,227,val,1
671,227,train,0
672,227,train,0
673,227,train,0
674,65,train,0
675,62,train,0
676,186,val,1
677,62,train,0
678,62,train,0
679,227,train,0
680,13,train,0
681,165,val,1
682,186,train,0
683,186,train,0
684,186,train,0
685,186,train,0
686,227,train,0
687,227,test,2
688,11,train,0
689,4,train,0
690,63,train,0
691,15,train,0
692,13,train,0
693,159,train,0
694,159,train,0
695,159,test,2
696,159,train,0
697,159,train,0
698,159,train,0
699,62,train,0
700,15,train,0
701,12,test,2
702,9,train,0
703,2,train,0
704,63,train,0
705,127,train,0
706,11,val,1
707,194,train,0
708,194,train,0
709,194,val,1
710,194,train,0
711,227,train,0
712,227,val,1
713,227,train,0
714,227,train,0
715,227,train,0
716,227,train,0
717,14,train,0
718,12,train,0
719,14,val,1
720,14,train,0
721,51,val,1
722,189,train,0
723,189,train,0
724,189,train,0
725,193,train,0
726,193,train,0
727,193,val,1
728,62,train,0
729,193,train,0
730,193,train,0
731,193,train,0
732,193,train,0
733,12,train,0
734,55,train,0
735,55,train,0
736,186,train,0
737,186,test,2
738,186,test,2
739,139,train,0
740,139,train,0
741,139,train,0
742,9,test,2
743,9,train,0
744,9,train,0
745,9,train,0
746,193,val,1
747,193,train,0
748,193,train,0
749,193,train,0
750,189,train,0
751,193,train,0
752,193,val,1
753,59,train,0
754,127,train,0
755,205,test,2
756,205,train,0
757,205,train,0
758,205,train,0
759,194,train,0
760,194,val,1
761,14,train,0
762,127,train,0
763,157,train,0
764,5,train,0
765,12,train,0
766,62,train,0
767,8,train,0
768,12,val,1
769,163,train,0
770,19,train,0
771,19,train,0
772,63,train,0
773,14,test,2
774,69,train,0
775,14,train,0
776,13,train,0
777,57,train,0
778,57,train,0
779,15,train,0
780,15,train,0
781,69,train,0
782,5,train,0
783,187,train,0
784,62,train,0
785,57,val,1
786,166,test,2
787,55,val,1
788,63,train,0
789,204,train,0
790,62,train,0
791,61,train,0
792,227,val,1
793,57,train,0
794,57,train,0
795,62,val,1
796,57,train,0
797,147,train,0
798,166,train,0
799,127,test,2
800,139,train,0
801,123,train,0
802,163,train,0
803,14,train,0
804,146,train,0
805,33,train,0
806,62,test,2
807,123,test,2
808,2,train,0
809,2,train,0
810,123,train,0
811,123,train,0
812,123,train,0
813,123,train,0
814,2,test,2
815,166,train,0
816,62,train,0
817,71,train,0
818,14,train,0
819,14,train,0
820,62,train,0
821,205,train,0
822,14,train,0
823,33,train,0
824,62,train,0
825,14,test,2
826,58,train,0
827,57,train,0
828,2,train,0
829,198,val,1
830,198,train,0
831,15,train,0
832,15,train,0
833,15,train,0
834,15,train,0
835,15,val,1
836,2,train,0
837,139,train,0
838,123,train,0
839,14,test,2
840,88,val,1
841,58,val,1
842,4,train,0
843,69,train,0
844,14,test,2
845,123,train,0
846,123,val,1
847,14,train,0
848,130,train,0
849,205,val,1
850,194,train,0
851,51,train,0
852,14,val,1
853,71,train,0
854,139,train,0
855,123,train,0
856,123,train,0
857,123,val,1
858,123,train,0
859,14,train,0
860,57,train,0
861,2,train,0
862,14,train,0
863,167,train,0
864,14,val,1
865,123,train,0
866,123,train,0
867,123,train,0
868,47,train,0
869,47,train,0
870,47,train,0
871,62,val,1
872,41,train,0
873,2,train,0
874,2,train,0
875,62,val,1
876,123,train,0
877,15,train,0
878,28,train,0
879,2,train,0
880,14,test,2
881,55,train,0
882,14,train,0
883,13,train,0
884,58,train,0
885,4,train,0
886,47,train,0
887,47,train,0
888,47,train,0
889,47,train,0
890,47,train,0
891,47,train,0
892,69,train,0
893,71,train,0
894,225,train,0
895,58,train,0
896,194,train,0
897,14,train,0
898,33,train,0
899,14,test,2
900,14,val,1
901,14,train,0
902,4,train,0
903,225,train,0
904,71,train,0
905,71,train,0
906,14,train,0
907,14,train,0
908,14,train,0
909,14,train,0
910,14,train,0
911,14,train,0
912,115,test,2
913,139,train,0
914,139,val,1
915,155,train,0
916,139,train,0
917,139,train,0
918,123,test,2
919,123,test,2
920,123,train,0
921,123,train,0
922,123,train,0
923,123,train,0
924,123,train,0
925,123,train,0
926,123,val,1
927,123,train,0
928,123,val,1
929,123,train,0
930,47,train,0
931,47,train,0
932,62,train,0
933,62,train,0
934,167,test,2
935,71,train,0
936,146,val,1
937,146,train,0
938,146,test,2
939,161,train,0
940,71,train,0
941,13,train,0
942,40,train,0
943,221,test,2
944,15,train,0
945,2,train,0
946,62,val,1
947,71,train,0
948,71,train,0
949,123,train,0
950,15,train,0
951,14,test,2
952,123,train,0
953,14,train,0
954,43,train,0
955,139,train,0
956,139,train,0
957,123,test,2
958,123,train,0
959,123,train,0
960,123,train,0
961,69,train,0
962,69,train,0
963,87,train,0
964,11,train,0
965,139,val,1
966,139,train,0
967,139,val,1
968,14,train,0
969,115,train,0
970,155,train,0
971,62,train,0
972,15,train,0
973,14,test,2
974,139,train,0
975,115,train,0
976,14,train,0
977,41,train,0
978,2,test,2
979,139,train,0
980,139,train,0
981,139,train,0
982,139,train,0
983,123,train,0
984,69,train,0
985,206,train,0
986,206,train,0
987,14,train,0
988,14,val,1
989,198,train,0
990,76,train,0
991,127,train,0
992,127,train,0
993,139,val,1
994,14,val,1
995,230,train,0
996,230,train,0
997,230,train,0
998,2,test,2
999,14,val,1
1000,14,train,0
1001,12,test,2
1002,15,train,0
1003,118,train,0
1004,52,train,0
1005,69,val,1
1006,123,test,2
1007,123,test,2
1008,123,train,0
1009,139,train,0
1010,123,test,2
1011,67,train,0
1012,123,train,0
1013,123,train,0
1014,139,train,0
1015,139,val,1
1016,35,train,0
1017,67,train,0
1018,123,train,0
1019,139,train,0
1020,123,train,0
1021,123,test,2
1022,123,train,0
1023,123,train,0
1024,47,train,0
1025,123,train,0
1026,14,train,0
1027,19,train,0
1028,107,train,0
1029,107,train,0
1030,2,train,0
1031,123,train,0
1032,11,train,0
1033,11,train,0
1034,15,train,0
1035,123,test,2
1036,9,train,0
1037,62,train,0
1038,14,train,0
1039,62,test,2
1040,139,train,0
1041,123,train,0
1042,123,test,2
1043,123,train,0
1044,20,val,1
1045,121,train,0
1046,139,train,0
1047,14,test,2
1048,14,train,0
1049,35,train,0
1050,15,test,2
1051,14,train,0
1052,14,train,0
1053,11,test,2
1054,15,train,0
1055,62,train,0
1056,167,train,0
1057,205,test,2
1058,62,train,0
1059,147,val,1
1060,2,train,0
1061,14,train,0
1062,139,train,0
1063,176,train,0
1064,123,train,0
1065,123,train,0
1066,123,train,0
1067,123,train,0
1068,2,train,0
1069,123,train,0
1070,123,test,2
1071,12,train,0
1072,129,train,0
1073,123,train,0
1074,176,train,0
1075,60,train,0
1076,15,val,1
1077,61,train,0
1078,139,train,0
1079,2,train,0
1080,127,test,2
1081,123,train,0
1082,15,train,0
1083,139,train,0
1084,62,train,0
1085,65,val,1
1086,12,train,0
1087,51,val,1
1088,14,train,0
1089,62,train,0
1090,123,train,0
1091,123,train,0
1092,123,train,0
1093,225,train,0
1094,62,train,0
1095,62,train,0
1096,55,train,0
1097,10,train,0
1098,62,train,0
1099,123,test,2
1100,123,train,0
1101,8,val,1
1102,2,train,0
1103,2,train,0
1104,71,train,0
1105,123,train,0
1106,123,train,0
1107,164,train,0
1108,14,train,0
1109,15,train,0
1110,123,val,1
1111,10,train,0
1112,166,train,0
1113,194,train,0
1114,14,train,0
1115,12,val,1
1116,173,train,0
1117,190,train,0
1118,83,val,1
1119,206,val,1
1120,229,train,0
1121,15,train,0
1122,123,train,0
1123,39,train,0
1124,139,train,0
1125,225,train,0
1126,71,train,0
1127,71,train,0
1128,18,val,1
1129,4,train,0
1130,69,train,0
1131,127,train,0
1132,127,train,0
1133,127,train,0
1134,62,train,0
1135,62,train,0
1136,62,test,2
1137,62,val,1
1138,62,train,0
1139,69,train,0
1140,65,test,2
1141,30,train,0
1142,26,test,2
1143,14,train,0
1144,83,train,0
1145,11,train,0
1146,123,test,2
1147,123,train,0
1148,166,train,0
1149,8,train,0
1150,189,test,2
1151,192,train,0
1152,62,train,0
1153,227,test,2
1154,12,train,0
1155,38,train,0
1156,14,test,2
1157,14,val,1
1158,14,test,2
1159,14,train,0
1160,2,val,1
1161,100,train,0
1162,115,train,0
1163,148,train,0
1164,62,train,0
1165,62,train,0
1166,62,train,0
1167,62,val,1
1168,62,train,0
1169,11,val,1
1170,71,train,0
1171,14,train,0
1172,192,val,1
1173,14,train,0
1174,201,test,2
1175,59,train,0
1176,36,train,0
1177,139,train,0
1178,62,train,0
1179,65,train,0
1180,88,test,2
1181,13,train,0
1182,139,train,0
1183,139,train,0
1184,11,train,0
1185,123,train,0
1186,139,train,0
1187,123,train,0
1188,123,train,0
1189,123,train,0
1190,123,train,0
1191,35,train,0
1192,123,train,0
1193,123,train,0
1194,123,train,0
1195,74,train,0
1196,15,val,1
1197,4,train,0
1198,150,train,0
1199,12,train,0
1200,62,train,0
1201,188,train,0
1202,148,train,0
1203,227,val,1
1204,227,train,0
1205,227,train,0
1206,227,train,0
1207,12,train,0
1208,2,train,0
1209,15,train,0
1210,123,test,2
1211,123,train,0
1212,123,train,0
1213,123,val,1
1214,123,test,2
1215,123,train,0
1216,123,train,0
1217,123,train,0
1218,123,train,0
1219,123,train,0
1220,13,train,0
1221,13,val,1
1222,88,test,2
1223,35,train,0
1224,11,val,1
1225,12,test,2
1226,122,train,0
1227,15,val,1
1228,14,val,1
1229,14,train,0
1230,87,train,0
1231,15,train,0
1232,139,train,0
1233,61,train,0
1234,67,test,2
1235,2,train,0
1236,227,val,1
1237,227,train,0
1238,12,train,0
1239,123,train,0
1240,15,val,1
1241,19,train,0
1242,38,test,2
1243,14,train,0
1244,14,train,0
1245,14,train,0
1246,14,val,1
1247,14,train,0
1248,14,train,0
1249,123,train,0
1250,123,train,0
1251,123,train,0
1252,123,train,0
1253,11,train,0
1254,129,train,0
1255,60,train,0
1256,193,train,0
1257,9,train,0
1258,15,test,2
1259,227,test,2
1260,227,val,1
1261,33,train,0
1262,194,train,0
1263,13,train,0
1264,14,train,0
1265,164,val,1
1266,164,train,0
1267,164,val,1
1268,164,train,0
1269,13,train,0
1270,163,train,0
1271,163,val,1
1272,83,train,0
1273,167,val,1
1274,34,train,0
1275,163,train,0
1276,163,test,2
1277,155,test,2
1278,193,test,2
1279,193,train,0
1280,155,train,0
1281,176,train,0
1282,2,train,0
1283,15,train,0
1284,2,test,2
1285,148,train,0
1286,15,train,0
1287,2,train,0
1288,139,train,0
1289,15,train,0
1290,5,train,0
1291,163,train,0
1292,4,val,1
1293,148,val,1
1294,173,test,2
1295,139,train,0
1296,139,train,0
1297,139,train,0
1298,61,train,0
1299,139,train,0
1300,139,train,0
1301,62,train,0
1302,14,train,0
1303,11,train,0
1304,9,train,0
1305,141,train,0
1306,141,train,0
1307,2,train,0
1308,41,train,0
1309,19,train,0
1310,15,val,1
1311,2,train,0
1312,14,val,1
1313,62,train,0
1314,167,val,1
1315,14,train,0
1316,227,train,0
1317,4,train,0
1318,201,val,1
1319,2,train,0
1320,13,train,0
1321,19,train,0
1322,62,val,1
1323,62,train,0
1324,58,train,0
1325,12,train,0
1326,14,train,0
1327,47,train,0
1328,42,train,0
1329,166,train,0
1330,14,val,1
1331,14,train,0
1332,201,train,0
1333,9,train,0
1334,19,train,0
1335,62,train,0
1336,197,train,0
1337,197,train,0
1338,201,val,1
1339,62,train,0
1340,201,train,0
1341,33,train,0
1342,197,train,0
1343,19,train,0
1344,62,train,0
1345,166,test,2
1346,52,train,0
1347,166,train,0
1348,166,train,0
1349,166,train,0
1350,166,train,0
1351,166,train,0
1352,87,train,0
1353,15,train,0
1354,15,train,0
1355,15,train,0
1356,55,train,0
1357,227,train,0
1358,164,train,0
1359,166,train,0
1360,166,train,0
1361,14,train,0
1362,62,val,1
1363,18,train,0
1364,197,train,0
1365,107,train,0
1366,62,train,0
1367,139,train,0
1368,107,train,0
1369,221,train,0
1370,2,train,0
1371,166,train,0
1372,166,train,0
1373,166,val,1
1374,87,train,0
1375,62,test,2
1376,14,train,0
1377,14,train,0
1378,14,train,0
1379,150,train,0
1380,62,train,0
1381,62,train,0
1382,14,test,2
1383,15,train,0
1384,14,train,0
1385,186,train,0
1386,11,train,0
1387,88,train,0
1388,13,test,2
1389,12,train,0
1390,139,train,0
1391,2,train,0
1392,199,train,0
1393,186,train,0
1394,19,train,0
1395,62,train,0
1396,161,train,0
1397,143,train,0
1398,227,train,0
1399,201,train,0
1400,141,train,0
1401,13,test,2
1402,2,test,2
1403,130,train,0
1404,13,train,0
1405,166,train,0
1406,166,train,0
1407,166,train,0
1408,166,train,0
1409,166,train,0
1410,166,train,0
1411,166,train,0
1412,166,test,2
1413,2,test,2
1414,14,train,0
1415,12,train,0
1416,186,train,0
1417,12,train,0
1418,11,train,0
1419,14,train,0
1420,44,test,2
1421,61,train,0
1422,11,train,0
1423,12,train,0
1424,64,train,0
1425,53,train,0
1426,205,test,2
1427,63,test,2
1428,11,test,2
1429,62,train,0
1430,62,train,0
1431,62,train,0
1432,146,val,1
1433,221,train,0
1434,63,train,0
1435,31,test,2
1436,67,train,0
1437,59,train,0
1438,62,val,1
1439,19,train,0
1440,61,train,0
1441,70,train,0
1442,12,train,0
1443,61,val,1
1444,186,train,0
1445,11,train,0
1446,135,train,0
1447,129,test,2
1448,67,train,0
1449,11,train,0
1450,52,train,0
1451,221,train,0
1452,221,train,0
1453,2,train,0
1454,191,test,2
1455,62,train,0
1456,105,train,0
1457,11,train,0
1458,11,train,0
1459,63,val,1
1460,58,train,0
1461,63,train,0
1462,63,train,0
1463,55,train,0
1464,142,train,0
1465,15,train,0
1466,14,train,0
1467,130,train,0
1468,63,test,2
1469,62,train,0
1470,173,train,0
1471,173,train,0
1472,11,val,1
1473,71,train,0
1474,12,train,0
1475,194,train,0
1476,123,train,0
1477,194,train,0
1478,194,test,2
1479,194,train,0
1480,194,train,0
1481,194,train,0
1482,123,train,0
1483,123,train,0
1484,194,train,0
1485,64,train,0
1486,64,train,0
1487,69,test,2
1488,139,train,0
1489,139,test,2
1490,139,train,0
1491,139,train,0
1492,139,train,0
1493,139,test,2
1494,139,train,0
1495,139,test,2
1496,139,test,2
1497,139,train,0
1498,26,train,0
1499,26,val,1
1500,64,train,0
1501,64,train,0
1502,138,train,0
1503,65,train,0
1504,65,train,0
1505,71,val,1
1506,71,train,0
1507,62,train,0
1508,71,val,1
1509,62,train,0
1510,14,train,0
1511,15,train,0
1512,15,train,0
1513,64,train,0
1514,138,val,1
1515,64,train,0
1516,64,train,0
1517,14,train,0
1518,69,train,0
1519,69,test,2
1520,62,train,0
1521,62,train,0
1522,62,train,0
1523,62,train,0
1524,62,train,0
1525,62,train,0
1526,62,train,0
1527,138,train,0
1528,71,train,0
1529,71,val,1
1530,62,train,0
1531,62,train,0
1532,227,test,2
1533,71,train,0
1534,194,train,0
1535,194,train,0
1536,166,train,0
1537,71,train,0
1538,71,train,0
1539,71,train,0
1540,71,train,0
1541,123,train,0
1542,123,train,0
1543,139,train,0
1544,186,train,0
1545,191,train,0
1546,221,test,2
1547,221,train,0
1548,62,val,1
1549,62,val,1
1550,33,train,0
1551,33,train,0
1552,33,train,0
1553,33,train,0
1554,33,train,0
1555,60,test,2
1556,60,val,1
1557,14,train,0
1558,14,train,0
1559,191,train,0
1560,191,train,0
1561,191,train,0
1562,191,train,0
1563,191,train,0
1564,62,train,0
1565,62,train,0
1566,62,train,0
1567,62,train,0
1568,62,train,0
1569,62,test,2
1570,62,train,0
1571,62,train,0
1572,62,train,0
1573,62,train,0
1574,139,train,0
1575,139,val,1
1576,139,train,0
1577,139,val,1
1578,14,test,2
1579,14,train,0
1580,138,val,1
1581,138,train,0
1582,138,test,2
1583,227,train,0
1584,62,train,0
1585,191,test,2
1586,191,val,1
1587,191,train,0
1588,191,test,2
1589,191,train,0
1590,191,train,0
1591,191,train,0
1592,191,train,0
1593,71,train,0
1594,71,train,0
1595,62,train,0
1596,62,train,0
1597,62,train,0
1598,64,test,2
1599,64,train,0
1600,64,train,0
1601,15,train,0
1602,71,train,0
1603,71,train,0
1604,71,train,0
1605,71,train,0
1606,15,train,0
1607,15,train,0
1608,62,train,0
1609,62,val,1
1610,62,train,0
1611,191,train,0
1612,191,train,0
1613,191,train,0
1614,191,val,1
1615,191,train,0
1616,191,train,0
1617,191,val,1
1618,191,train,0
1619,191,train,0
1620,191,train,0
1621,191,train,0
1622,191,train,0
1623,191,train,0
1624,191,train,0
1625,191,train,0
1626,62,train,0
1627,4,train,0
1628,63,train,0
1629,63,test,2
1630,63,val,1
1631,63,val,1
1632,14,val,1
1633,14,train,0
1634,14,train,0
1635,14,train,0
1636,64,test,2
1637,64,train,0
1638,64,train,0
1639,64,train,0
1640,64,test,2
1641,64,train,0
1642,64,train,0
1643,64,train,0
1644,64,train,0
1645,64,val,1
1646,64,val,1
1647,64,train,0
1648,64,test,2
1649,64,train,0
1650,64,train,0
1651,64,train,0
1652,64,train,0
1653,64,train,0
1654,62,test,2
1655,14,train,0
1656,14,train,0
1657,147,train,0
1658,147,train,0
1659,61,val,1
1660,2,train,0
1661,14,train,0
1662,2,train,0
1663,15,train,0
