row,id,space_group,crystal_system,crystal_system_id
188,1000212,230,Cubic,6
189,1000213,230,Cubic,6
190,1000214,2,Triclinic,0
191,1000215,15,Monoclinic,1
192,1000216,9,Monoclinic,1
193,1000217,12,Monoclinic,1
194,1000218,65,Orthorhombic,2
195,1000219,14,Monoclinic,1
196,1000220,12,Monoclinic,1
197,1000221,123,Tetragonal,3
198,1000222,123,Tetragonal,3
199,1000223,65,Orthorhombic,2
200,1000224,30,Orthorhombic,2
201,1000225,60,Orthorhombic,2
202,1000226,12,Monoclinic,1
203,1000227,74,Orthorhombic,2
204,1000229,163,Trigonal,4
205,1000230,44,Orthorhombic,2
206,1000231,44,Orthorhombic,2
207,1000232,15,Monoclinic,1
208,1000233,99,Tetragonal,3
209,1000234,47,Orthorhombic,2
210,1000235,60,Orthorhombic,2
211,1000236,199,Cubic,6
212,1000237,74,Orthorhombic,2
213,1000238,63,Orthorhombic,2
214,1000239,102,Tetragonal,3
215,1000240,227,Cubic,6
216,1000241,227,Cubic,6
217,1000242,127,Tetragonal,3
218,1000245,2,Triclinic,0
219,1000246,2,Triclinic,0
220,1000247,74,Orthorhombic,2
221,1000248,2,Triclinic,0
222,1000249,2,Triclinic,0
223,1000250,139,Tetragonal,3
224,1000251,74,Orthorhombic,2
225,1000252,15,Monoclinic,1
226,1000253,11,Monoclinic,1
227,1000254,13,Monoclinic,1
228,1000255,11,Monoclinic,1
229,1000256,227,Cubic,6
230,1000257,74,Orthorhombic,2
231,1000258,74,Orthorhombic,2
232,1000259,74,Orthorhombic,2
233,1000260,14,Monoclinic,1
234,1000261,14,Monoclinic,1
235,1000262,63,Orthorhombic,2
236,1000263,227,Cubic,6
237,1000264,64,Orthorhombic,2
238,1000265,64,Orthorhombic,2
239,1000266,64,Orthorhombic,2
240,1000267,65,Orthorhombic,2
241,1000268,65,Orthorhombic,2
242,1000269,15,Monoclinic,1
243,1000270,2,Triclinic,0
244,1000271,2,Triclinic,0
245,1000272,62,Orthorhombic,2
246,1000273,140,Tetragonal,3
247,1000274,140,Tetragonal,3
248,1000275,135,Tetragonal,3
249,1000276,140,Tetragonal,3
250,1000277,140,Tetragonal,3
251,1000278,12,Monoclinic,1
252,1000279,204,Cubic,6
253,1000281,12,Monoclinic,1
254,1000282,61,Orthorhombic,2
255,1000283,2,Triclinic,0
256,1000284,62,Orthorhombic,2
257,1000285,66,Orthorhombic,2
258,1000286,14,Monoclinic,1
259,1000287,2,Triclinic,0
260,1000288,62,Orthorhombic,2
261,1000289,14,Monoclinic,1
262,1000290,62,Orthorhombic,2
263,1000291,62,Orthorhombic,2
264,1000292,62,Orthorhombic,2
265,1000295,152,Trigonal,4
266,1000296,152,Trigonal,4
267,1000297,206,Cubic,6
268,1000298,33,Orthorhombic,2
269,1000299,205,Cubic,6
270,1000300,15,Monoclinic,1
271,1000301,62,Orthorhombic,2
272,1000302,62,Orthorhombic,2
273,1000303,62,Orthorhombic,2
274,1000304,62,Orthorhombic,2
275,1000305,14,Monoclinic,1
276,1000306,19,Orthorhombic,2
277,1000311,62,Orthorhombic,2
278,1000312,62,Orthorhombic,2
279,1000313,62,Orthorhombic,2
280,1000314,62,Orthorhombic,2
281,1000315,62,Orthorhombic,2
282,1000316,62,Orthorhombic,2
283,1000317,62,Orthorhombic,2
284,1000318,62,Orthorhombic,2
285,1000319,137,Tetragonal,3
286,1000320,11,Monoclinic,1
287,1000321,63,Orthorhombic,2
288,1000322,88,Tetragonal,3
289,1000323,12,Monoclinic,1
290,1000324,15,Monoclinic,1
291,1000325,55,Orthorhombic,2
292,1000326,60,Orthorhombic,2
293,1000327,205,Cubic,6
294,1000328,205,Cubic,6
295,1000329,62,Orthorhombic,2
296,1000330,60,Orthorhombic,2
297,1000331,60,Orthorhombic,2
298,1000332,57,Orthorhombic,2
299,1000333,74,Orthorhombic,2
300,1000334,34,Orthorhombic,2
301,1000335,58,Orthorhombic,2
302,1000336,102,Tetragonal,3
303,1000337,15,Monoclinic,1
304,1000338,14,Monoclinic,1
305,1000339,100,Tetragonal,3
306,1000340,15,Monoclinic,1
307,1000341,9,Monoclinic,1
308,1000342,205,Cubic,6
309,1000343,194,Hexagonal,5
310,1000344,141,Tetragonal,3
311,1000345,58,Orthorhombic,2
312,1000346,2,Triclinic,0
313,1000347,139,Tetragonal,3
314,1000348,63,Orthorhombic,2
315,1000349,19,Orthorhombic,2
316,1000350,19,Orthorhombic,2
317,1000351,141,Tetragonal,3
318,1000352,36,Orthorhombic,2
319,1000353,176,Hexagonal,5
320,1000354,148,Trigonal,4
321,1000355,7,Monoclinic,1
322,1000356,141,Tetragonal,3
323,1000357,47,Orthorhombic,2
324,1000358,43,Orthorhombic,2
325,1000359,33,Orthorhombic,2
326,1000360,70,Orthorhombic,2
327,1000361,63,Orthorhombic,2
328,1000362,61,Orthorhombic,2
329,1000363,71,Orthorhombic,2
330,1000364,14,Monoclinic,1
331,1000365,130,Tetragonal,3
332,1000366,130,Tetragonal,3
333,1000367,130,Tetragonal,3
334,1000368,130,Tetragonal,3
335,1000369,139,Tetragonal,3
336,1000370,185,Hexagonal,5
337,1000371,14,Monoclinic,1
338,1000372,26,Orthorhombic,2
339,1000373,4,Monoclinic,1
340,1000374,12,Monoclinic,1
341,1000375,12,Monoclinic,1
342,1000376,2,Triclinic,0
343,1000377,14,Monoclinic,1
344,1000378,9,Monoclinic,1
345,1000379,63,Orthorhombic,2
346,1000380,63,Orthorhombic,2
347,1000381,227,Cubic,6
348,1000382,227,Cubic,6
349,1000383,227,Cubic,6
350,1000384,227,Cubic,6
351,1000385,227,Cubic,6
352,1000386,227,Cubic,6
353,1000387,227,Cubic,6
354,1000388,55,Orthorhombic,2
355,1000389,11,Monoclinic,1
356,1000390,11,Monoclinic,1
357,1000391,11,Monoclinic,1
358,1000392,139,Tetragonal,3
359,1000393,63,Orthorhombic,2
360,1000394,57,Orthorhombic,2
361,1000395,70,Orthorhombic,2
362,1000396,198,Cubic,6
363,1000397,189,Hexagonal,5
364,1000398,12,Monoclinic,1
365,1000399,12,Monoclinic,1
366,1000400,15,Monoclinic,1
367,1000401,204,Cubic,6
368,1000402,74,Orthorhombic,2
369,1000403,2,Triclinic,0
370,1000404,74,Orthorhombic,2
371,1000405,74,Orthorhombic,2
372,1000406,74,Orthorhombic,2
373,1000407,140,Tetragonal,3
374,1000408,15,Monoclinic,1
375,1000409,15,Monoclinic,1
376,1000410,15,Monoclinic,1
377,1000411,15,Monoclinic,1
378,1000412,62,Orthorhombic,2
379,1000413,205,Cubic,6
380,1000414,50,Orthorhombic,2
381,1000415,139,Tetragonal,3
382,1000416,12,Monoclinic,1
383,1000417,150,Trigonal,4
384,1000418,229,Cubic,6
385,1000419,62,Orthorhombic,2
386,1000420,15,Monoclinic,1
387,1000421,36,Orthorhombic,2
388,1000422,36,Orthorhombic,2
389,1000423,12,Monoclinic,1
390,1000424,12,Monoclinic,1
391,1000425,74,Orthorhombic,2
392,1000426,62,Orthorhombic,2
393,1000427,14,Monoclinic,1
394,1000428,176,Hexagonal,5
395,1000429,143,Trigonal,4
396,1000430,14,Monoclinic,1
397,1000431,14,Monoclinic,1
398,1000432,62,Orthorhombic,2
399,1000433,62,Orthorhombic,2
400,1000434,186,Hexagonal,5
401,1000435,14,Monoclinic,1
402,1000436,123,Tetragonal,3
403,1000437,123,Tetragonal,3
404,1000438,123,Tetragonal,3
405,1000439,57,Orthorhombic,2
406,1000440,14,Monoclinic,1
407,1000441,64,Orthorhombic,2
408,1000442,33,Orthorhombic,2
409,1000443,227,Cubic,6
410,1000444,227,Cubic,6
411,1000445,62,Orthorhombic,2
412,1000446,62,Orthorhombic,2
413,1000447,11,Monoclinic,1
414,1000448,11,Monoclinic,1
415,1000449,11,Monoclinic,1
416,1000450,40,Orthorhombic,2
417,1000451,58,Orthorhombic,2
418,1000452,74,Orthorhombic,2
419,1000453,123,Tetragonal,3
420,1000454,127,Tetragonal,3
421,1000455,127,Tetragonal,3
422,1000456,59,Orthorhombic,2
423,1000457,59,Orthorhombic,2
424,1000458,14,Monoclinic,1
425,1000460,15,Monoclinic,1
426,1000461,164,Trigonal,4
427,1000462,164,Trigonal,4
428,1000463,194,Hexagonal,5
429,1000464,194,Hexagonal,5
430,1000465,194,Hexagonal,5
431,1000466,148,Trigonal,4
432,1000469,194,Hexagonal,5
433,1000470,166,Trigonal,4
434,1000471,12,Monoclinic,1
435,1000472,8,Monoclinic,1
436,1000473,12,Monoclinic,1
437,1000474,155,Trigonal,4
438,1000475,63,Orthorhombic,2
439,1000477,11,Monoclinic,1
440,1000478,11,Monoclinic,1
441,1000479,123,Tetragonal,3
442,1000480,75,Tetragonal,3
443,1000481,60,Orthorhombic,2
444,1000482,84,Tetragonal,3
445,1000483,139,Tetragonal,3
446,1000484,12,Monoclinic,1
447,1000485,141,Tetragonal,3
448,1000486,14,Monoclinic,1
449,1000487,2,Triclinic,0
450,1000488,19,Orthorhombic,2
451,1000489,166,Trigonal,4
452,1000490,120,Tetragonal,3
453,1000491,120,Tetragonal,3
454,1000492,166,Trigonal,4
455,1000493,227,Cubic,6
456,1000494,227,Cubic,6
457,1000495,227,Cubic,6
458,1000496,127,Tetragonal,3
459,1000497,2,Triclinic,0
460,1000498,14,Monoclinic,1
461,1000499,227,Cubic,6
462,1000500,148,Trigonal,4
463,1000501,148,Trigonal,4
464,1000502,14,Monoclinic,1
465,1000503,139,Tetragonal,3
466,1000504,14,Monoclinic,1
467,1000505,61,Orthorhombic,2
468,1000506,2,Triclinic,0
469,1000507,2,Triclinic,0
470,1000508,56,Orthorhombic,2
471,1000509,15,Monoclinic,1
472,1000510,2,Triclinic,0
473,1001000,68,Orthorhombic,2
474,1001001,165,Trigonal,4
475,1001002,165,Trigonal,4
476,1001003,176,Hexagonal,5
477,1001004,7,Monoclinic,1
478,1001005,166,Trigonal,4
479,1001007,157,Trigonal,4
480,1001008,157,Trigonal,4
481,1001009,36,Orthorhombic,2
482,1001010,20,Orthorhombic,2
483,1001011,150,Trigonal,4
484,1001013,164,Trigonal,4
485,1001014,164,Trigonal,4
486,1001015,164,Trigonal,4
487,1001016,164,Trigonal,4
488,1001017,166,Trigonal,4
489,1001018,14,Monoclinic,1
490,1001019,61,Orthorhombic,2
491,1001020,193,Hexagonal,5
492,1001021,193,Hexagonal,5
493,1001022,4,Monoclinic,1
494,1001023,15,Monoclinic,1
495,1001024,33,Orthorhombic,2
496,1001025,166,Trigonal,4
497,1001026,194,Hexagonal,5
498,1001027,193,Hexagonal,5
499,1001028,193,Hexagonal,5
500,1001029,193,Hexagonal,5
501,1001030,227,Cubic,6
502,1001031,12,Monoclinic,1
503,1001032,38,Orthorhombic,2
504,1001033,227,Cubic,6
505,1001034,227,Cubic,6
506,1001035,227,Cubic,6
507,1001036,62,Orthorhombic,2
508,1001037,127,Tetragonal,3
509,1001038,143,Trigonal,4
510,1001039,193,Hexagonal,5
511,1001040,193,Hexagonal,5
512,1001041,193,Hexagonal,5
513,1001042,193,Hexagonal,5
514,1001043,193,Hexagonal,5
515,1001044,193,Hexagonal,5
516,1001045,193,Hexagonal,5
517,1001046,193,Hexagonal,5
518,1001047,150,Trigonal,4
519,1001048,206,Cubic,6
520,1001049,227,Cubic,6
521,1001050,227,Cubic,6
522,1001051,227,Cubic,6
523,1001052,227,Cubic,6
524,1001053,14,Monoclinic,1
525,1001054,221,Cubic,6
526,1001055,47,Orthorhombic,2
527,1001056,65,Orthorhombic,2
528,1001057,227,Cubic,6
529,1001058,227,Cubic,6
530,1001059,227,Cubic,6
531,1001060,227,Cubic,6
532,1001061,227,Cubic,6
533,1001062,227,Cubic,6
534,1001063,227,Cubic,6
535,1001064,227,Cubic,6
536,1001065,188,Hexagonal,5
537,1001066,159,Trigonal,4
538,1001072,81,Tetragonal,3
539,1001073,222,Cubic,6
540,1001074,188,Hexagonal,5
541,1001075,188,Hexagonal,5
542,1001076,188,Hexagonal,5
543,1001077,188,Hexagonal,5
544,1001078,188,Hexagonal,5
545,1001079,176,Hexagonal,5
546,1001080,57,Orthorhombic,2
547,1001081,62,Orthorhombic,2
548,1001082,62,Orthorhombic,2
549,1001083,62,Orthorhombic,2
550,1001084,62,Orthorhombic,2
551,1001085,62,Orthorhombic,2
552,1001086,62,Orthorhombic,2
553,1001087,62,Orthorhombic,2
554,1001088,62,Orthorhombic,2
555,1001089,62,Orthorhombic,2
556,1001091,136,Tetragonal,3
557,1001092,227,Cubic,6
558,1001094,225,Cubic,6
559,1001095,205,Cubic,6
560,1001096,14,Monoclinic,1
561,1001097,127,Tetragonal,3
562,1001098,227,Cubic,6
563,1001099,227,Cubic,6
564,1001101,227,Cubic,6
565,1001102,189,Hexagonal,5
566,1001103,189,Hexagonal,5
567,1001104,189,Hexagonal,5
568,1001105,189,Hexagonal,5
569,1001106,12,Monoclinic,1
570,1001107,12,Monoclinic,1
571,1001108,12,Monoclinic,1
572,1001109,55,Orthorhombic,2
573,1001110,14,Monoclinic,1
574,1001111,176,Hexagonal,5
575,1001112,176,Hexagonal,5
576,1001113,176,Hexagonal,5
577,1001114,176,Hexagonal,5
578,1001115,176,Hexagonal,5
579,1001116,176,Hexagonal,5
580,1001117,176,Hexagonal,5
581,1001118,165,Trigonal,4
582,1001119,165,Trigonal,4
583,1001120,165,Trigonal,4
584,1001121,165,Trigonal,4
585,1001122,165,Trigonal,4
586,1001123,65,Orthorhombic,2
587,1001124,221,Cubic,6
588,1001125,123,Tetragonal,3
589,1001126,227,Cubic,6
590,1001127,14,Monoclinic,1
591,1001128,225,Cubic,6
592,1001129,36,Orthorhombic,2
593,1001130,36,Orthorhombic,2
594,1001131,62,Orthorhombic,2
595,1001132,225,Cubic,6
596,1001133,205,Cubic,6
597,1001134,205,Cubic,6
598,1001135,61,Orthorhombic,2
599,1001136,192,Hexagonal,5
600,1001137,192,Hexagonal,5
601,1001138,192,Hexagonal,5
602,1001139,192,Hexagonal,5
603,1001140,192,Hexagonal,5
604,1001141,192,Hexagonal,5
605,1001142,192,Hexagonal,5
606,1001143,70,Orthorhombic,2
607,1001145,227,Cubic,6
608,1001146,227,Cubic,6
609,1001147,227,Cubic,6
610,1001148,227,Cubic,6
611,1001149,227,Cubic,6
612,1001150,57,Orthorhombic,2
613,1001151,136,Tetragonal,3
614,1001152,227,Cubic,6
615,1001153,227,Cubic,6
616,1001154,227,Cubic,6
617,1001155,227,Cubic,6
618,1001156,227,Cubic,6
619,1001157,71,Orthorhombic,2
620,1001158,62,Orthorhombic,2
621,1001159,13,Monoclinic,1
622,1001160,75,Tetragonal,3
623,1001161,14,Monoclinic,1
624,1001162,189,Hexagonal,5
625,1001163,227,Cubic,6
626,1001164,227,Cubic,6
627,1001165,227,Cubic,6
628,1001166,227,Cubic,6
629,1001167,227,Cubic,6
630,1001168,227,Cubic,6
631,1001169,43,Orthorhombic,2
632,1001170,14,Monoclinic,1
633,1001171,34,Orthorhombic,2
634,1001172,123,Tetragonal,3
635,1001173,10,Monoclinic,1
636,1001174,70,Orthorhombic,2
637,1001175,194,Hexagonal,5
638,1001176,225,Cubic,6
639,1001177,227,Cubic,6
640,1001178,227,Cubic,6
641,1001179,227,Cubic,6
642,1001180,148,Trigonal,4
643,1001181,140,Tetragonal,3
644,1001182,140,Tetragonal,3
645,1001183,227,Cubic,6
646,1001187,227,Cubic,6
647,1001188,227,Cubic,6
648,1001189,227,Cubic,6
649,1001190,227,Cubic,6
650,1001191,227,Cubic,6
651,1001192,227,Cubic,6
652,1001193,227,Cubic,6
653,1001194,227,Cubic,6
654,1001195,227,Cubic,6
655,1001196,121,Tetragonal,3
656,1001197,30,Orthorhombic,2
657,1001198,82,Tetragonal,3
658,1001199,227,Cubic,6
659,1001201,59,Orthorhombic,2
660,1001202,2,Triclinic,0
661,1001203,229,Cubic,6
662,1001204,139,Tetragonal,3
663,1001205,62,Orthorhombic,2
664,1001206,62,Orthorhombic,2
665,1001207,62,Orthorhombic,2
666,1001208,63,Orthorhombic,2
667,1001209,19,Orthorhombic,2
668,1001210,143,Trigonal,4
669,1001212,227,Cubic,6
670,1001213,227,Cubic,6
671,1001214,227,Cubic,6
672,1001215,227,Cubic,6
673,1001217,227,Cubic,6
674,1001218,65,Orthorhombic,2
675,1001219,62,Orthorhombic,2
676,1001220,186,Hexagonal,5
677,1001221,62,Orthorhombic,2
678,1001222,62,Orthorhombic,2
679,1001223,227,Cubic,6
680,1001225,13,Monoclinic,1
681,1001226,165,Trigonal,4
682,1001227,186,Hexagonal,5
683,1001228,186,Hexagonal,5
684,1001229,186,Hexagonal,5
685,1001230,186,Hexagonal,5
686,1001231,227,Cubic,6
687,1001232,227,Cubic,6
688,1001233,11,Monoclinic,1
689,1001234,4,Monoclinic,1
690,1001235,63,Orthorhombic,2
691,1001236,15,Monoclinic,1
692,1001237,13,Monoclinic,1
693,1001238,159,Trigonal,4
694,1001239,159,Trigonal,4
695,1001240,159,Trigonal,4
696,1001241,159,Trigonal,4
697,1001242,159,Trigonal,4
698,1001243,159,Trigonal,4
699,1001250,62,Orthorhombic,2
700,1001251,15,Monoclinic,1
701,1001252,12,Monoclinic,1
702,1001253,9,Monoclinic,1
703,1001254,2,Triclinic,0
704,1001255,63,Orthorhombic,2
705,1001256,127,Tetragonal,3
706,1001257,11,Monoclinic,1
707,1001258,194,Hexagonal,5
708,1001259,194,Hexagonal,5
709,1001260,194,Hexagonal,5
710,1001261,194,Hexagonal,5
711,1001263,227,Cubic,6
712,1001264,227,Cubic,6
713,1001265,227,Cubic,6
714,1001266,227,Cubic,6
715,1001267,227,Cubic,6
716,1001268,227,Cubic,6
717,1001269,14,Monoclinic,1
718,1001270,12,Monoclinic,1
719,1001271,14,Monoclinic,1
720,1001272,14,Monoclinic,1
721,1001273,51,Orthorhombic,2
722,1001274,189,Hexagonal,5
723,1001275,189,Hexagonal,5
724,1001276,189,Hexagonal,5
725,1001277,193,Hexagonal,5
726,1001278,193,Hexagonal,5
727,1001279,193,Hexagonal,5
728,1001280,62,Orthorhombic,2
729,1001281,193,Hexagonal,5
730,1001282,193,Hexagonal,5
731,1001283,193,Hexagonal,5
732,1001284,193,Hexagonal,5
733,1001285,12,Monoclinic,1
734,1001286,55,Orthorhombic,2
735,1001287,55,Orthorhombic,2
736,1001288,186,Hexagonal,5
737,1001289,186,Hexagonal,5
738,1001290,186,Hexagonal,5
739,1001291,139,Tetragonal,3
740,1001292,139,Tetragonal,3
741,1001293,139,Tetragonal,3
742,1001294,9,Monoclinic,1
743,1001295,9,Monoclinic,1
744,1001296,9,Monoclinic,1
745,1001297,9,Monoclinic,1
746,1001298,193,Hexagonal,5
747,1001299,193,Hexagonal,5
748,1001300,193,Hexagonal,5
749,1001301,193,Hexagonal,5
750,1001302,189,Hexagonal,5
751,1001303,193,Hexagonal,5
752,1001304,193,Hexagonal,5
753,1001305,59,Orthorhombic,2
754,1001317,127,Tetragonal,3
755,1001320,205,Cubic,6
756,1001321,205,Cubic,6
757,1001322,205,Cubic,6
758,1001323,205,Cubic,6
759,1001324,194,Hexagonal,5
760,1001325,194,Hexagonal,5
761,1001326,14,Monoclinic,1
762,1001327,127,Tetragonal,3
763,1001328,157,Trigonal,4
764,1001329,5,Monoclinic,1
765,1001330,12,Monoclinic,1
766,1001331,62,Orthorhombic,2
767,1001332,8,Monoclinic,1
768,1001333,12,Monoclinic,1
769,1001334,163,Trigonal,4
770,1001335,19,Orthorhombic,2
771,1001336,19,Orthorhombic,2
772,1001337,63,Orthorhombic,2
773,1001338,14,Monoclinic,1
774,1001339,69,Orthorhombic,2
775,1001340,14,Monoclinic,1
776,1001341,13,Monoclinic,1
777,1001342,57,Orthorhombic,2
778,1001343,57,Orthorhombic,2
779,1001344,15,Monoclinic,1
780,1001345,15,Monoclinic,1
781,1001346,69,Orthorhombic,2
782,1001347,5,Monoclinic,1
783,1001348,187,Hexagonal,5
784,1001349,62,Orthorhombic,2
785,1001350,57,Orthorhombic,2
786,1001351,166,Trigonal,4
787,1001352,55,Orthorhombic,2
788,1001353,63,Orthorhombic,2
789,1001354,204,Cubic,6
790,1001355,62,Orthorhombic,2
791,1001356,61,Orthorhombic,2
792,1001357,227,Cubic,6
793,1001359,57,Orthorhombic,2
794,1001360,57,Orthorhombic,2
795,1001361,62,Orthorhombic,2
796,1001362,57,Orthorhombic,2
797,1001363,147,Trigonal,4
798,1001364,166,Trigonal,4
799,1001365,127,Tetragonal,3
800,1001366,139,Tetragonal,3
801,1001367,123,Tetragonal,3
802,1001368,163,Trigonal,4
803,1001369,14,Monoclinic,1
804,1001370,146,Trigonal,4
805,1001371,33,Orthorhombic,2
806,1001372,62,Orthorhombic,2
807,1001373,123,Tetragonal,3
808,1001374,2,Triclinic,0
809,1001375,2,Triclinic,0
810,1001376,123,Tetragonal,3
811,1001377,123,Tetragonal,3
812,1001378,123,Tetragonal,3
813,1001379,123,Tetragonal,3
814,1001380,2,Triclinic,0
815,1001381,166,Trigonal,4
816,1001382,62,Orthorhombic,2
817,1001383,71,Orthorhombic,2
818,1001384,14,Monoclinic,1
819,1001385,14,Monoclinic,1
820,1001386,62,Orthorhombic,2
821,1001387,205,Cubic,6
822,1001388,14,Monoclinic,1
823,1001389,33,Orthorhombic,2
824,1001390,62,Orthorhombic,2
825,1001391,14,Monoclinic,1
826,1001392,58,Orthorhombic,2
