ID,space_group
1000196,186
1000197,62
1000198,123
1000199,120
1000200,63
1000201,14
1000202,55
1000204,14
1000205,14
1000206,62
1000207,127
1000208,11
1000209,230
1000210,230
1000211,230
1000212,230
1000213,230
1000214,2
1000215,15
1000216,9
1000217,12
1000218,65
1000219,14
1000220,12
1000221,123
1000222,123
1000223,65
1000224,30
1000225,60
1000226,12
1000227,74
1000229,163
1000230,44
1000231,44
1000232,15
1000233,99
1000234,47
1000235,60
1000236,199
1000237,74
1000238,63
1000239,102
1000240,227
1000241,227
1000242,127
1000245,2
1000246,2
1000247,74
1000248,2
1000249,2
1000250,139
1000251,74
1000252,15
1000253,11
1000254,13
1000255,11
1000256,227
1000257,74
1000258,74
1000259,74
1000260,14
1000261,14
1000262,63
1000263,227
1000264,64
1000265,64
1000266,64
1000267,65
1000268,65
1000269,15
1000270,2
1000271,2
1000272,62
1000273,140
1000274,140
1000275,135
1000276,140
1000277,140
1000278,12
1000279,204
1000281,12
1000282,61
1000283,2
1000284,62
1000285,66
1000286,14
1000287,2
1000288,62
1000289,14
1000290,62
1000291,62
1000292,62
1000295,152
1000296,152
1000297,206
1000298,33
1000299,205
1000300,15
1000301,62
1000302,62
1000303,62
1000304,62
1000305,14
1000306,19
1000311,62
1000312,62
1000313,62
1000314,62
1000315,62
1000316,62
1000317,62
1000318,62
1000319,137
1000320,11
1000321,63
1000322,88
1000323,12
1000324,15
1000325,55
1000326,60
1000327,205
1000328,205
1000329,62
1000330,60
1000331,60
1000332,57
1000333,74
1000334,34
1000335,58
1000336,102
1000337,15
1000338,14
1000339,100
1000340,15
1000341,9
1000342,205
1000343,194
1000344,141
1000345,58
1000346,2
1000347,139
1000348,63
1000349,19
1000350,19
1000351,141
1000352,36
1000353,176
1000354,148
1000355,7
1000356,141
1000357,47
1000358,43
1000359,33
1000360,70
1000361,63
1000362,61
1000363,71
1000364,14
1000365,130
1000366,130
1000367,130
1000368,130
1000369,139
1000370,185
1000371,14
1000372,26
1000373,4
1000374,12
1000375,12
1000376,2
1000377,14
1000378,9
1000379,63
1000380,63
1000381,227
1000382,227
1000383,227
1000384,227
1000385,227
1000386,227
1000387,227
1000388,55
1000389,11
1000390,11
1000391,11
1000392,139
1000393,63
1000394,57
1000395,70
1000396,198
1000397,189
1000398,12
1000399,12
1000400,15
1000401,204
1000402,74
1000403,2
1000404,74
1000405,74
1000406,74
1000407,140
1000408,15
1000409,15
1000410,15
1000411,15
1000412,62
1000413,205
1000414,50
1000415,139
1000416,12
1000417,150
1000418,229
1000419,62
1000420,15
1000421,36
1000422,36
1000423,12
1000424,12
1000425,74
1000426,62
1000427,14
1000428,176
1000429,143
1000430,14
1000431,14
1000432,62
1000433,62
1000434,186
1000435,14
1000436,123
1000437,123
1000438,123
1000439,57
1000440,14
1000441,64
1000442,33
1000443,227
1000444,227
1000445,62
1000446,62
1000447,11
1000448,11
1000449,11
1000450,40
1000451,58
1000452,74
1000453,123
1000454,127
1000455,127
1000456,59
1000457,59
1000458,14
1000460,15
1000461,164
1000462,164
1000463,194
1000464,194
1000465,194
1000466,148
1000469,194
1000470,166
1000471,12
1000472,8
1000473,12
1000474,155
1000475,63
1000477,11
1000478,11
1000479,123
1000480,75
1000481,60
1000482,84
1000483,139
1000484,12
1000485,141
1000486,14
1000487,2
1000488,19
1000489,166
1000490,120
1000491,120
1000492,166
1000493,227
1000494,227
1000495,227
1000496,127
1000497,2
1000498,14
1000499,227
1000500,148
1000501,148
1000502,14
1000503,139
1000504,14
1000505,61
1000506,2
1000507,2
1000508,56
1000509,15
1000510,2
1001000,68
1001001,165
1001002,165
1001003,176
1001004,7
1001005,166
1001007,157
1001008,157
1001009,36
1001010,20
1001011,150
1001013,164
1001014,164
1001015,164
1001016,164
1001017,166
1001018,14
1001019,61
1001020,193
1001021,193
1001022,4
1001023,15
1001024,33
1001025,166
1001026,194
1001027,193
1001028,193
1001029,193
1001030,227
1001031,12
1001032,38
1001033,227
1001034,227
1001035,227
1001036,62
1001037,127
1001038,143
1001039,193
1001040,193
1001041,193
1001042,193
1001043,193
1001044,193
1001045,193
1001046,193
1001047,150
1001048,206
1001049,227
1001050,227
1001051,227
1001052,227
1001053,14
1001054,221
1001055,47
1001056,65
1001057,227
1001058,227
1001059,227
1001060,227
1001061,227
1001062,227
1001063,227
1001064,227
1001065,188
1001066,159
1001072,81
1001073,222
1001074,188
1001075,188
1001076,188
1001077,188
1001078,188
1001079,176
1001080,57
1001081,62
1001082,62
1001083,62
1001084,62
1001085,62
1001086,62
1001087,62
1001088,62
1001089,62
1001091,136
1001092,227
1001094,225
1001095,205
1001096,14
1001097,127
1001098,227
1001099,227
1001101,227
1001102,189
1001103,189
1001104,189
1001105,189
1001106,12
1001107,12
1001108,12
1001109,55
1001110,14
1001111,176
1001112,176
1001113,176
1001114,176
1001115,176
1001116,176
1001117,176
1001118,165
1001119,165
1001120,165
1001121,165
1001122,165
1001123,65
1001124,221
1001125,123
1001126,227
1001127,14
1001128,225
1001129,36
1001130,36
1001131,62
1001132,225
1001133,205
1001134,205
1001135,61
1001136,192
1001137,192
1001138,192
1001139,192
1001140,192
1001141,192
1001142,192
1001143,70
1001145,227
1001146,227
1001147,227
1001148,227
1001149,227
1001150,57
1001151,136
1001152,227
1001153,227
1001154,227
1001155,227
1001156,227
1001157,71
1001158,62
1001159,13
1001160,75
1001161,14
1001162,189
1001163,227
1001164,227
1001165,227
1001166,227
1001167,227
1001168,227
1001169,43
1001170,14
1001171,34
1001172,123
1001173,10
1001174,70
1001175,194
1001176,225
1001177,227
1001178,227
1001179,227
1001180,148
1001181,140
1001182,140
1001183,227
1001187,227
1001188,227
1001189,227
1001190,227
1001191,227
1001192,227
1001193,227
1001194,227
1001195,227
1001196,121
1001197,30
1001198,82
1001199,227
1001201,59
1001202,2
1001203,229
1001204,139
1001205,62
1001206,62
1001207,62
1001208,63
1001209,19
1001210,143
1001212,227
1001213,227
1001214,227
1001215,227
1001217,227
1001218,65
1001219,62
1001220,186
1001221,62
1001222,62
1001223,227
1001225,13
1001226,165
1001227,186
1001228,186
1001229,186
1001230,186
1001231,227
1001232,227
1001233,11
1001234,4
1001235,63
1001236,15
1001237,13
1001238,159
1001239,159
1001240,159
1001241,159
1001242,159
1001243,159
1001250,62
1001251,15
1001252,12
1001253,9
1001254,2
1001255,63
1001256,127
1001257,11
1001258,194
1001259,194
1001260,194
1001261,194
1001263,227
1001264,227
1001265,227
1001266,227
1001267,227
1001268,227
1001269,14
1001270,12
1001271,14
1001272,14
1001273,51
1001274,189
1001275,189
1001276,189
1001277,193
1001278,193
1001279,193
1001280,62
1001281,193
1001282,193
1001283,193
1001284,193
1001285,12
1001286,55
1001287,55
1001288,186
1001289,186
1001290,186
1001291,139
1001292,139
1001293,139
1001294,9
1001295,9
1001296,9
1001297,9
1001298,193
1001299,193
1001300,193
1001301,193
1001302,189
1001303,193
1001304,193
1001305,59
1001317,127
1001320,205
1001321,205
1001322,205
1001323,205
1001324,194
1001325,194
1001326,14
1001327,127
1001328,157
1001329,5
1001330,12
1001331,62
1001332,8
1001333,12
1001334,163
1001335,19
1001336,19
1001337,63
1001338,14
1001339,69
1001340,14
1001341,13
1001342,57
1001343,57
1001344,15
1001345,15
1001346,69
1001347,5
1001348,187
1001349,62
1001350,57
1001351,166
1001352,55
1001353,63
1001354,204
1001355,62
1001356,61
1001357,227
1001359,57
1001360,57
1001361,62
1001362,57
1001363,147
1001364,166
1001365,127
1001366,139
1001367,123
1001368,163
1001369,14
1001370,146
1001371,33
1001372,62
1001373,123
1001374,2
1001375,2
1001376,123
1001377,123
1001378,123
1001379,123
1001380,2
1001381,166
1001382,62
1001383,71
1001384,14
1001385,14
1001386,62
1001387,205
1001388,14
1001389,33
1001390,62
1001391,14
1001392,58
1001393,57
1001394,2
1001395,198
1001396,198
1001397,15
1001398,15
1001399,15
1001400,15
1001401,15
1001402,2
1001403,139
1001404,123
1001405,14
1001406,88
1001407,58
1001408,4
1001409,69
1001410,14
1001411,123
1001412,123
1001413,14
1001414,130
1001415,205
1001416,194
1001417,51
1001418,14
1001419,71
1001420,139
1001421,123
1001422,123
1001423,123
1001424,123
1001425,14
1001426,57
1001427,2
1001428,14
1001429,167
1001430,14
1001431,123
1001432,123
1001433,123
1001434,47
1001435,47
1001436,47
1001437,62
1001438,41
1001439,2
1001440,2
1001441,62
1001442,123
1001443,15
1001444,28
1001445,2
1001446,14
1001447,55
1001448,14
1001449,13
1001450,58
1001451,4
1001452,47
1001453,47
1001454,47
1001455,47
1001456,47
1001457,47
1001458,69
1001459,71
1001460,225
1001461,58
1001462,194
1001463,14
1001464,33
1001465,14
1001466,14
1001467,14
1001468,4
1001469,225
1001470,71
1001471,71
1001472,14
1001473,14
1001474,14
1001475,14
1001476,14
1001477,14
1001478,115
1001479,139
1001480,139
1001481,155
1001482,139
1001483,139
1001484,123
1001485,123
1001486,123
1001487,123
1001488,123
1001489,123
1001490,123
1001491,123
1001492,123
1001493,123
1001494,123
1001495,123
1001496,47
1001497,47
1001498,62
1001499,62
1001500,167
1001501,71
1001502,146
1001503,146
1001504,146
1001505,161
1001506,71
1001507,13
1001508,40
1001509,221
1001510,15
1001511,2
1001512,62
1001513,71
1001514,71
1001515,123
1001516,15
1001517,14
1001518,123
1001519,14
1001520,43
1001521,139
1001522,139
1001523,123
1001524,123
1001525,123
1001526,123
1001527,69
1001528,69
1001529,87
1001530,11
1001531,139
1001532,139
1001533,139
1001534,14
1001535,115
1001536,155
1001537,62
1001538,15
1001539,14
1001540,139
1001541,115
1001542,14
1001543,41
1001544,2
1001545,139
1001546,139
1001547,139
1001548,139
1001549,123
1001550,69
1001551,206
1001552,206
1001553,14
1001554,14
1001555,198
1001556,76
1001557,127
1001558,127
1001559,139
1001560,14
1001561,230
1001562,230
1001563,230
1001564,2
1001565,14
1001566,14
1001567,12
1001568,15
1001569,118
1001570,52
1001571,69
1001572,123
1001573,123
1001574,123
1001575,139
1001576,123
1001577,67
1001578,123
1001579,123
1001580,139
1001581,139
1001582,35
1001583,67
1001584,123
1001585,139
1001586,123
1001587,123
1001588,123
1001589,123
1001590,47
1001591,123
1001592,14
1001593,19
1001594,107
1001595,107
1001596,2
1001597,123
1001598,11
1001599,11
1001600,15
1001601,123
1001602,9
1001603,62
1001604,14
1001605,62
1001606,139
1001607,123
1001608,123
1001609,123
1001610,20
1001611,121
1001612,139
1001613,14
1001614,14
1001615,35
1001616,15
1001617,14
1001618,14
1001620,11
1001621,15
1001622,62
1001623,167
1001624,205
1001625,62
1001626,147
1001627,2
1001628,14
1001629,139
1001630,176
1001631,123
1001632,123
1001633,123
1001634,123
1001635,2
1001636,123
1001637,123
1001638,12
1001639,129
1001640,123
1001641,176
1001642,60
1001643,15
1001644,61
1001645,139
1001646,2
1001647,127
1001648,123
1001649,15
1001650,139
1001651,62
1001652,65
1001653,12
1001654,51
1001655,14
1001656,62
1001657,123
1001658,123
1001659,123
1001660,225
1001661,62
1001662,62
1001663,55
1001664,10
1001665,62
1001666,123
1001667,123
1001668,8
1001669,2
1001670,2
1001671,71
1001672,123
1001673,123
1001674,164
1001675,14
1001676,15
1001677,123
1001678,10
1001679,166
1001680,194
1001681,14
1001682,12
1001683,173
1001687,190
1001688,83
1001689,206
1001690,229
1001691,15
1001692,123
1001693,39
1001694,139
1001695,225
1001696,71
1001697,71
1001698,18
1001699,4
1001700,69
1001701,127
1001702,127
1001703,127
1001704,62
1001705,62
1001706,62
1001707,62
1001708,62
1001709,69
1001710,65
1001711,30
1001712,26
1001713,14
1001714,83
1001715,11
1001716,123
1001717,123
1001718,166
1001719,8
1001720,189
1001721,192
1001722,62
1001723,227
1001724,12
1001725,38
1001726,14
1001727,14
1001728,14
1001729,14
1001730,2
1001731,100
1001732,115
1001733,148
1001734,62
1001735,62
1001736,62
1001737,62
1001738,62
1001739,11
1001740,71
1001741,14
1001742,192
1001743,14
1001744,201
1001745,59
1001746,36
1001747,139
1001748,62
1001749,65
1001750,88
1001751,13
1001752,139
1001753,139
1001754,11
1001755,123
1001756,139
1001757,123
1001758,123
1001759,123
1001760,123
1001761,35
1001762,123
1001763,123
1001764,123
1001765,74
1001766,15
1001767,4
1001770,150
1001771,12
1001772,62
1001773,188
1001774,148
1001776,227
1001777,227
1001778,227
1001779,227
1001782,12
1001783,2
1001784,15
1001789,123
1001790,123
1001791,123
1001792,123
1001793,123
1001794,123
1001795,123
1001796,123
1001797,123
1001798,123
1001799,13
1001801,13
1001802,88
1001803,35
1001804,11
1001805,12
1001806,122
1001807,15
1001808,14
1001809,14
1001810,87
1001811,15
1001812,139
1001813,61
1001814,67
1001815,2
1001816,227
1001817,227
1001818,12
1001819,123
1001820,15
1001821,19
1001822,38
1001823,14
1001824,14
1001825,14
1001826,14
1001827,14
1001828,14
1001829,123
1001830,123
1001831,123
1001832,123
1001833,11
1001834,129
1001835,60
1001836,193
1001837,9
1001838,15
1001839,227
1001840,227
1001842,33
1001843,194
1001845,13
1001846,14
1001847,164
1001848,164
1001849,164
1001850,164
1001851,13
1001852,163
1001853,163
1001854,83
1001855,167
1001856,34
1001857,163
1001858,163
1001859,155
1001860,193
1001861,193
1001862,155
1001863,176
1004000,2
1004001,15
1004002,2
1004003,148
1004004,15
1004005,2
1004006,139
1004007,15
1004008,5
1004009,163
1004010,4
1004011,148
1004012,173
1004013,139
1004014,139
1004015,139
1004016,61
1004017,139
1004018,139
1004019,62
1004023,14
1004024,11
1004025,9
1004026,141
1004027,141
1004028,2
1004029,41
1004030,19
1004031,15
1004032,2
1004033,14
1004034,62
1004035,167
1004036,14
1004037,227
1004038,4
1004040,201
1004041,2
1004042,13
1004043,19
1004044,62
1004045,62
1004046,58
1004047,12
1004048,14
1004049,47
1004050,42
1004052,166
1004053,14
1004054,14
1004056,201
1004058,9
1004059,19
1004060,62
1004061,197
1004062,197
1004063,201
1004065,62
1004066,201
1004067,33
1004068,197
1004069,19
1004070,62
1004071,166
1004072,52
1004074,166
1004075,166
1004076,166
1004077,166
1004078,166
1004080,87
1004081,15
1004082,15
1004083,15
1004084,55
1004085,227
1004086,164
1004087,166
1004088,166
1004091,14
1004092,62
1004093,18
1004094,197
1004095,107
1004096,62
1004097,139
1004098,107
1004099,221
1004100,2
1004101,166
1004102,166
1004103,166
1004104,87
1004105,62
1004106,14
1004107,14
1004108,14
1004109,150
1004110,62
1004111,62
1004112,14
1004113,15
1004114,14
1004115,186
1004116,11
1004117,88
1004118,13
1004119,12
1004120,139
1004121,2
1004122,199
1004123,186
1004124,19
1004125,62
1004126,161
1004127,143
1004128,227
1004129,201
1004130,141
1004131,13
1004132,2
1004133,130
1004134,13
1004135,166
1004136,166
1004137,166
1004138,166
1004139,166
1004140,166
1004141,166
1004142,166
1004143,2
1004144,14
1004145,12
1004146,186
1004147,12
1004148,11
1004149,14
1004150,44
1004151,61
1004152,11
1005000,12
1005003,64
1005004,53
1005005,205
1005006,63
1005007,11
1005008,62
1005009,62
1005010,62
1005011,146
1005012,221
1005013,63
1005014,31
1005016,67
1005017,59
1005018,62
1005021,19
1005022,61
1005023,70
1005024,12
1005025,61
1005026,186
1005027,11
1005028,135
1005029,129
1005030,67
1005031,11
1005032,52
1005033,221
1005034,221
1005035,2
1005037,191
1005038,62
1005039,105
1005040,11
1005041,11
1005042,63
1005043,58
1005044,63
1005045,63
1005046,55
1005049,142
1005050,15
1005051,14
1005052,130
1005053,63
1005054,62
1005055,173
1005056,173
1005057,11
1005058,71
1005059,12
1006000,194
1006001,123
1006002,194
1006003,194
1006004,194
1006005,194
1006006,194
1006007,123
1006008,123
1006009,194
1006010,64
1006011,64
1006012,69
1006013,139
1006014,139
1006015,139
1006016,139
1006017,139
1006018,139
1006019,139
1006020,139
1006021,139
1006022,139
1006023,26
1006024,26
1006025,64
1006026,64
1006027,138
1006032,65
1006033,65
1006034,71
1006035,71
1006036,62
1006037,71
1006038,62
1006039,14
1006040,15
1006041,15
1006042,64
1006043,138
1006044,64
1006045,64
1006046,14
1006049,69
1006050,69
1006051,62
1006052,62
1006053,62
1006054,62
1006055,62
1006056,62
1006057,62
1006058,138
1006059,71
1006060,71
1006061,62
1006062,62
1006063,227
1006064,71
1006065,194
1006066,194
1006067,166
1006068,71
1006069,71
1006070,71
1006071,71
1006074,123
1006075,123
1006076,139
1006077,186
1006078,191
1006079,221
1006080,221
1006081,62
1006082,62
1006083,33
1006084,33
1006085,33
1006086,33
1006087,33
1006088,60
1006089,60
1006090,14
1006091,14
1006092,191
1006093,191
1006094,191
1006095,191
1006096,191
1006097,62
1006098,62
1006099,62
1006100,62
1006101,62
1006102,62
1006103,62
1006104,62
1006105,62
1006106,62
1006107,139
1006108,139
1006109,139
1006110,139
1006111,14
1006112,14
1006113,138
1006114,138
1006115,138
1006116,227
1006117,62
1006118,191
1006119,191
1006120,191
1006121,191
1006122,191
1006123,191
1006124,191
1006125,191
1006126,71
1006127,71
1006128,62
1006129,62
1006130,62
1006131,64
1006132,64
1006133,64
1006134,15
1006135,71
1006136,71
1006137,71
1006138,71
1006139,15
1006140,15
1006141,62
1006142,62
1006143,62
1006144,191
1006145,191
1006146,191
1006147,191
1006148,191
1006149,191
1006150,191
1006151,191
1006152,191
1006153,191
1006154,191
1006155,191
1006156,191
1006157,191
1006159,191
1006163,62
1006164,4
1006165,63
1006166,63
1006167,63
1006168,63
1006169,14
1006170,14
1006171,14
1006172,14
1006173,64
1006174,64
1006175,64
1006176,64
1006178,64
1006179,64
1006180,64
1006181,64
1006182,64
1006183,64
1006184,64
1006185,64
1006186,64
1006188,64
1006189,64
1006190,64
1006191,64
1006192,64
1007000,62
1007001,14
1007002,14
1007003,147
1007004,147
1007005,61
1007006,2
1007007,14
1007008,2
1007009,15
1007010,15
1007011,2
1007012,2
1007013,13
1007014,15
1007015,62
1007016,53
1007017,14
1007018,12
1007019,14
1007020,12
1007021,14
1007022,14
1007023,2
1007024,2
1007025,2
1007026,2
1007027,15
1007028,2
1007029,55
1007030,2
1007031,61
1007032,14
1007033,62
1007034,14
1007035,11
1007036,12
1007037,2
1007038,173
1007039,2
1007040,15
1007041,15
1007042,14
1007044,2
1007045,14
1007046,230
1007047,230
1007048,9
1007049,155
1007050,19
1007051,74
1007052,2
1007053,2
1007055,14
1007056,147
1007057,12
1007058,198
1007059,14
1007060,15
1007061,82
1007062,174
1007063,14
1007064,9
1007065,74
1007066,212
1007067,198
1007068,148
1007069,212
1007070,212
1007071,14
1007072,64
1007073,64
1007074,64
1007075,64
1007076,227
1007077,227
1007079,31
1007080,188
1007081,197
1007082,56
1007083,144
1007084,2
1007086,14
1007087,2
1007088,14
1007089,13
1007091,220
1007092,54
1007094,220
1007095,15
1007096,2
1007097,15
1007098,2
1007099,125
1007100,61
1007134,2
1007135,14
1007136,14
1007137,2
1007138,14
1007139,14
1007140,11
1007141,14
1007143,2
1007144,14
1007145,62
1007146,220
1007147,14
1007148,82
1007149,11
1007150,2
1007151,19
1007152,15
1007153,2
1007154,2
1007155,44
1007156,14
1007157,44
1007158,14
1007159,15
1007160,2
1007161,62
1007162,12
1007163,62
1007164,14
1007165,63
1007166,76
1007167,15
1007168,15
1007169,2
1007170,14
1007171,14
1007172,2
1007173,2
1007174,76
1007175,2
1007176,14
1007177,14
1007178,14
1007179,28
1007180,63
1007181,14
1007182,33
1007183,62
1007184,14
1007185,212
1007186,2
1007187,2
1007188,15
1007189,15
1007190,2
1007191,2
1007192,2
1007193,14
1007194,2
1007195,2
1007196,2
1007197,2
1007198,2
1007199,15
1007200,63
1007201,2
1007202,14
1007203,14
1007204,14
1007205,14
1007206,44
1007207,70
1007209,2
1007210,2
1007211,15
1007212,62
1007213,15
1007214,2
1007215,9
1007216,2
1007217,14
1007218,28
1007219,14
1007220,2
1007221,19
1007222,2
1007223,15
1007224,2
1007225,14
1007226,2
1007227,2
1007228,14
1007229,62
1007230,62
1007231,2
1007232,2
1007233,33
1007234,100
1007235,230
1007236,14
1007237,33
1007238,62
1007239,14
1007240,62
1007241,19
1007242,9
1007243,176
1007244,160
1007245,57
1007246,146
1007247,14
1007248,159
1007249,167
1007250,92
1007251,14
1007252,2
1007253,82
1007254,31
1007255,29
1007256,212
1007257,188
1007258,7
1007259,15
1007260,15
1007261,15
1007262,14
1007263,19
1007264,167
1007265,146
1007266,2
1008000,62
1008001,2
1008004,62
1008005,2
1008006,62
1008007,62
1008008,14
1008009,62
1008010,224
1008011,224
1008012,2
1008013,15
1008014,14
1008015,182
1008018,14
1008019,9
1008020,2
1008023,14
1008024,2
1008025,2
1008026,14
1008027,42
1008028,14
1008029,202
1008030,14
1008031,2
1008032,14
1008033,58
1008034,62
1008036,2
1008037,2
1008038,2
1008039,2
1008040,14
1008046,14
1008047,19
1008048,2
1008049,2
1008050,2
1008051,201
1008052,14
1008053,139
1008054,139
1008055,225
1008056,189
1008057,162
1008058,12
1008059,61
1008060,230
1008061,12
1008065,14
1008066,60
1008067,60
1008068,164
1008069,60
1008070,2
1008073,71
1008077,63
1008079,12
1008080,72
1008081,148
1008082,63
1008083,63
1008084,63
1008085,12
1008086,12
1008087,14
1008088,139
1008089,182
1008090,62
1008091,62
1008093,95
1008094,15
1008095,225
1008096,225
1008097,225
1008098,225
1008099,225
1008100,225
1008101,225
1008102,2
1008103,2
1008104,63
1008105,63
1008106,36
1008107,36
1008108,14
1008109,62
1008111,62
1008112,12
1008113,127
1008116,60
1008118,71
1008120,61
1008121,2
1008122,14
1008123,15
1008124,62
1008125,139
1008126,139
1008131,74
1008132,74
1008144,230
1008145,230
1008146,62
1008147,230
1008149,14
1008150,14
1008151,129
1008153,63
1008154,62
1008155,62
1008157,230
1008158,74
1008159,62
1008160,62
1008163,5
1008164,14
1008165,12
1008168,151
1008169,15
1008170,180
1008171,180
1008172,180
1008176,68
1008177,61
1008178,12
1008179,2
1008180,204
1008181,204
1008182,64
1008183,14
1008184,14
1008185,62
1008186,66
1008187,33
1008190,4
1008191,33
1008192,204
1008194,222
1008195,2
1008196,2
1008197,2
1008198,2
1008199,15
1008200,15
1008201,2
1008202,148
1008203,225
1008206,33
1008207,2
1008208,148
1008209,36
1008210,194
1008211,62
1008212,62
1008213,62
1008214,2
1008215,165
1008216,165
1008218,14
1008219,204
1008220,204
1008237,20
1008238,59
1008239,59
1008240,14
1008241,14
1008242,216
1008243,216
1008244,216
1008247,14
1008248,14
1008249,139
1008250,139
1008251,139
1008252,227
1008253,227
1008254,136
1008255,160
1008256,2
1008257,29
1008258,139
1008259,139
1008260,139
1008261,139
1008262,139
1008263,139
1008264,139
1008265,28
1008266,10
1008267,148
1008268,166
1008269,9
1008270,14
1008271,194
1008272,194
1008273,194
1008274,194
1008275,194
1008276,63
1008277,63
1008278,63
1008279,12
1008280,71
1008281,123
1008282,227
1008283,227
1008285,180
1008286,180
1008287,180
1008288,225
1008289,225
1008290,225
1008291,4
1008292,225
1008293,225
1008294,225
1008295,225
1008296,225
1008297,225
1008298,225
1008299,225
1008300,225
1008301,225
1008302,227
1008303,20
1008304,2
1008311,230
1008312,230
1008313,230
1008314,230
1008315,230
1008319,33
1008320,86
1008321,176
1008322,87
1008323,225
1008324,142
1008325,142
1008326,194
1008327,194
1008328,194
1008329,194
1008330,194
1008331,186
1008332,186
1008333,186
1008334,186
1008335,33
1008336,43
1008337,12
1008343,2
1008344,14
1008345,194
1008346,194
1008347,186
1008348,186
1008349,186
1008350,70
1008351,47
1008352,47
1008353,47
1008354,47
1008355,123
1008356,60
1008358,227
1008359,2
1008360,2
1008361,191
1008362,191
1008363,227
1008364,194
1008365,70
1008366,167
1008367,167
1008368,14
1008369,65
1008370,15
1008371,15
1008372,47
1008373,12
1008374,63
1008375,36
1008376,20
1008378,47
1008379,62
1008380,15
1008381,15
1008382,47
1008383,47
1008384,47
1008385,47
1008386,47
1008387,47
1008388,47
1008389,47
1008390,47
1008391,47
1008392,47
1008393,47
1008394,47
1008395,47
1008396,47
1008397,47
1008398,47
1008399,47
1008400,47
1008401,47
1008402,47
1008403,47
1008404,47
1008405,47
1008406,47
1008407,47
1008408,47
1008409,47
1008410,47
1008411,47
1008412,47
1008413,47
1008414,47
1008415,47
1008416,47
1008417,47
1008418,47
1008419,47
1008420,47
1008421,47
1008422,47
1008423,47
1008424,194
1008425,139
1008426,123
1008427,33
1008428,205
1008429,62
1008430,62
1008431,62
1008432,62
1008433,2
1008434,166
1008435,123
1008436,14
1008437,166
1008438,123
1008439,194
1008440,63
1008441,63
1008442,63
1008443,63
1008444,63
1008445,140
1008446,140
1008447,140
1008448,65
1008449,206
1008450,205
1008451,14
1008452,71
1008453,167
1008454,18
1008455,136
1008456,194
1008457,194
1008458,166
1008459,166
1008460,71
1008461,62
1008462,14
1008463,14
1008464,62
1008466,62
1008467,62
1008468,160
1008469,160
1008471,136
1008472,136
1008477,139
1008478,197
1008479,166
1008480,2
1008481,139
1008482,47
1008483,47
1008484,47
1008485,47
1008486,47
1008487,47
1008488,47
1008489,65
1008490,47
1008491,227
1008492,15
1008493,15
1008494,12
1008495,61
1008496,218
1008497,62
1008498,15
1008499,141
1008500,141
1008501,141
1008502,141
1008503,141
1008504,141
1008505,166
1008506,166
1008507,166
1008508,166
1008509,15
1008510,167
1008511,167
1008512,167
1008513,88
1008514,87
1008515,2
1008516,189
1008517,189
1008519,59
1008525,14
1008526,14
1008527,14
1008528,14
1008529,166
1008530,166
1008531,166
1008532,63
1008533,63
1008534,225
1008535,62
1008536,2
1008539,71
1008540,71
1008541,64
1008542,64
1008543,167
1008548,139
1008549,139
1008550,139
1008551,139
1008552,19
1008553,15
1008554,123
1008555,123
1008556,12
1008557,166
1008558,166
1008559,166
1008560,166
1008561,227
